TEAM_ID,TEAM_NAME,SHORT_NAME,TLA,CREST_URL,LEAGUE_CODE
89,RCD Mallorca,Mallorca,MAL,https://crests.football-data.org/89.png,PD
90,Real Betis Balompié,Real Betis,BET,https://crests.football-data.org/90.png,PD
559,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png,PD
558,RC Celta de Vigo,Celta,CEL,https://crests.football-data.org/558.png,PD
82,Getafe CF,Getafe,GET,https://crests.football-data.org/82.png,PD
275,UD Las Palmas,Las Palmas,LPA,https://crests.football-data.org/275.png,PD
80,RCD Espanyol de Barcelona,Espanyol,ESP,https://crests.football-data.org/80.png,PD
745,CD Leganés,Leganés,LEG,https://crests.football-data.org/745.png,PD
95,Valencia CF,Valencia,VAL,https://crests.football-data.org/95.png,PD
263,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png,PD
250,Real Valladolid CF,Valladolid,VDD,https://crests.football-data.org/250.png,PD
