a,b,c,d,e,f,g,h,i,j
PT-0002-2965ES-0003-009,31208,,PT-0002-2965,ALFA MELÓN MEMORY FOAM 4 MM,16205,ES-0003-009,MEMORY FOAM 4MM 1040002051,BON_PROD,Y,1
PT-0002-2965PR-0001-001,31209,,PT-0002-2965,ALFA MELÓN MEMORY FOAM 4 MM,16206,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2966TX-0196-003,31210,,PT-0002-2966,CUPRA BLANCO ESPUMA 0417 BC SATINADO BLANCO,16207,TX-0196-003,CUPRA BLANCO,MATP,Y,1
PT-0002-2966ES-0002-019,31211,,PT-0002-2966,CUPRA BLANCO ESPUMA 0417 BC SATINADO BLANCO,16208,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-2966TX-0110-020,31212,,PT-0002-2966,CUPRA BLANCO ESPUMA 0417 BC SATINADO BLANCO,16209,TX-0110-020,SATINADO X BLANCO,MATP,Y,1
PT-0002-2966PR-0001-001,31213,,PT-0002-2966,CUPRA BLANCO ESPUMA 0417 BC SATINADO BLANCO,16210,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2967TX-0005-050,31214,,PT-0002-2967,ALFA ASTRO GREEN MEMORY FOAM 4 MM,16211,TX-0005-050,ALFA ASTRO GREEN,BON_PROD,Y,1
PT-0002-2967ES-0003-009,31215,,PT-0002-2967,ALFA ASTRO GREEN MEMORY FOAM 4 MM,16212,ES-0003-009,MEMORY FOAM 4MM 1040002051,BON_PROD,Y,1
PT-0002-2967PR-0001-001,31216,,PT-0002-2967,ALFA ASTRO GREEN MEMORY FOAM 4 MM,16213,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2968TX-0005-041,31217,,PT-0002-2968,ALFA FOG ESPUMA 0517 NG PELLON NG,16214,TX-0005-041,ALFA FOG,BON_PROD,Y,1
PT-0002-2968ES-0002-029,31218,,PT-0002-2968,ALFA FOG ESPUMA 0517 NG PELLON NG,16215,ES-0002-029,PEELER 050-014 NEGRO U,BON_PROD,Y,1
PT-0002-2968TX-0054-003,31219,,PT-0002-2968,ALFA FOG ESPUMA 0517 NG PELLON NG,16216,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0002-2968PR-0001-001,31220,,PT-0002-2968,ALFA FOG ESPUMA 0517 NG PELLON NG,16217,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2969TX-0005-046,31221,,PT-0002-2969,ALFA CASIS MEMORY FOAM 4 MM,16218,TX-0005-046,ALFA CASIS,BON_PROD,Y,1
PT-0002-2969ES-0003-009,31222,,PT-0002-2969,ALFA CASIS MEMORY FOAM 4 MM,16219,ES-0003-009,MEMORY FOAM 4MM 1040002051,BON_PROD,Y,1
PT-0002-2969PR-0001-001,31223,,PT-0002-2969,ALFA CASIS MEMORY FOAM 4 MM,16220,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2970MX-0044-002,31224,,PT-0002-2970,WINNER TORO BLANCO B-HIDRO PUNZONADO CUADRO,16221,MX-0044-002,WINNER TORO BLANCO B-HIDRO,PERFO,N,1
PT-0002-2970PR-0002-003,31225,,PT-0002-2970,WINNER TORO BLANCO B-HIDRO PUNZONADO CUADRO,16222,PR-0002-003,"PROCESO PRODUCCION 1 PROCESO (TMB, PERF, EST, GOF)",PERFO,Y,1
PT-0002-2971TX-0005-047,31226,,PT-0002-2971,ALFA SHIRAZ MEMORY FOAM 4 MM,16223,TX-0005-047,ALFA SHIRAZ,MATP,Y,1
PT-0002-2971MQ-0020-005,31227,,PT-0002-2971,ALFA SHIRAZ MEMORY FOAM 4 MM,16224,MQ-0020-005,MEMORY FOAM 4MM 1040002051,MATP,Y,1
PT-0002-2971PR-0001-001,31228,,PT-0002-2971,ALFA SHIRAZ MEMORY FOAM 4 MM,16225,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2972SI-0038-001,31229,,PT-0002-2972,POLAR ALMOND MEMORY COMFORT 3 MM,16226,SI-0038-001,POLAR ALMOND,BON_PROD,N,1
PT-0002-2972ES-0024-001,31230,,PT-0002-2972,POLAR ALMOND MEMORY COMFORT 3 MM,16227,ES-0024-001,MEMORY COMFORT NARANJA 3MM,BON_PROD,Y,1
PT-0002-2972PR-0001-001,31231,,PT-0002-2972,POLAR ALMOND MEMORY COMFORT 3 MM,16228,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2973TX-0202-005,31232,,PT-0002-2973,SANDWICH LUMEN BLANCO SARGA CRUDO,16229,TX-0202-005,SANDWICH LUMEN BLANCO,TEIMP,Y,1
PT-0002-2973TX-0108-008,31233,,PT-0002-2973,SANDWICH LUMEN BLANCO SARGA CRUDO,16230,TX-0108-008,SARGA FLEX,MATP,Y,1
PT-0002-2973PR-0001-001,31234,,PT-0002-2973,SANDWICH LUMEN BLANCO SARGA CRUDO,16231,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2974TX-0067-008,31235,,PT-0002-2974,LONA POLIESTER BLANCO BASE DN BC 1.0,16232,TX-0067-008,LONA POLIESTER BLANCO,TEIMP,Y,1
PT-0002-2974BA-0001-039,31236,,PT-0002-2974,LONA POLIESTER BLANCO BASE DN BC 1.0,16233,BA-0001-039,BASE BLANCO DN 1.0 RP,SIBASE,Y,1
PT-0002-2974PR-0001-001,31237,,PT-0002-2974,LONA POLIESTER BLANCO BASE DN BC 1.0,16234,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2975TX-0022-005,31238,,PT-0002-2975,SANDWICH PREMIUM ATLANTIC BLUE TST 180 NG SUAVE,16235,TX-0022-005,SANDWICH PREMIUM ATLANTIC BLUE,BON_PROD,Y,1
PT-0002-2975TX-0127-002,31239,,PT-0002-2975,SANDWICH PREMIUM ATLANTIC BLUE TST 180 NG SUAVE,16236,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0002-2975PR-0001-001,31240,,PT-0002-2975,SANDWICH PREMIUM ATLANTIC BLUE TST 180 NG SUAVE,16237,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2976TX-0005-014,31241,,PT-0002-2976,NO ACTIVAR ALFA CREMA ESPUMA 0317 BC KOREANO 35 BC,16238,TX-0005-014,ALFA CREMA,BON_PROD,Y,1
PT-0002-2976ES-0002-006,31242,,PT-0002-2976,NO ACTIVAR ALFA CREMA ESPUMA 0317 BC KOREANO 35 BC,16239,ES-0002-006,PEELER 030-014 BLANCO U,BON_PROD,Y,1
PT-0002-2976TX-0054-004,31243,,PT-0002-2976,NO ACTIVAR ALFA CREMA ESPUMA 0317 BC KOREANO 35 BC,16240,TX-0054-004,KOREANO 35-150 BLANCO,BON_PROD,Y,1
PT-0002-2976PR-0001-001,31244,,PT-0002-2976,NO ACTIVAR ALFA CREMA ESPUMA 0317 BC KOREANO 35 BC,16241,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2977TX-0005-003,31245,,PT-0002-2977,ALFA AQUA ESPUMA 3 MM BC KOREANO 35 BC,16242,TX-0005-003,ALFA AZUL AQUA,BON_PROD,Y,1
PT-0002-2977ES-0002-006,31246,,PT-0002-2977,ALFA AQUA ESPUMA 3 MM BC KOREANO 35 BC,16243,ES-0002-006,PEELER 030-014 BLANCO U,BON_PROD,Y,1
PT-0002-2977TX-0054-004,31247,,PT-0002-2977,ALFA AQUA ESPUMA 3 MM BC KOREANO 35 BC,16244,TX-0054-004,KOREANO 35-150 BLANCO,BON_PROD,Y,1
PT-0002-2977PR-0001-001,31248,,PT-0002-2977,ALFA AQUA ESPUMA 3 MM BC KOREANO 35 BC,16245,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2978TX-0106-010,31249,,PT-0002-2978,SANDWICH GRIS CLARO FLIS BCO,16246,TX-0106-010,SANDWICH GRIS CLARO 1040004070,BON_PROD,Y,1
PT-0002-2978TX-0171-002,31250,,PT-0002-2978,SANDWICH GRIS CLARO FLIS BCO,16247,TX-0171-002,FLIS BLANCO,BON_PROD,Y,1
PT-0002-2978PR-0001-011,31251,,PT-0002-2978,SANDWICH GRIS CLARO FLIS BCO,16248,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-2978PG-0001-012,31252,,PT-0002-2978,SANDWICH GRIS CLARO FLIS BCO,16249,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BON_PROD,Y,1.45
PT-0002-2979TX-0005-002,31253,,PT-0002-2979,ALFA APRICOT ESPUMA 0317 BC,16250,TX-0005-002,ALFA APRICOT,BON_PROD,Y,1
PT-0002-2979ES-0002-008,31254,,PT-0002-2979,ALFA APRICOT ESPUMA 0317 BC,16251,ES-0002-008,PEELER 030-017 BLANCO,BON_PROD,N,1
PT-0002-2979PR-0001-001,31255,,PT-0002-2979,ALFA APRICOT ESPUMA 0317 BC,16252,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2980TX-0005-004,31256,,PT-0002-2980,ALFA AZUL MEMORY CARBON,16253,TX-0005-004,ALFA AZUL MARINO,BON_PROD,Y,1
PT-0002-2980ES-0003-012,31257,,PT-0002-2980,ALFA AZUL MEMORY CARBON,16254,ES-0003-012,MEMORY RUBBER 3.5MM,BON_PROD,Y,1
PT-0002-2980PR-0001-001,31258,,PT-0002-2980,ALFA AZUL MEMORY CARBON,16255,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2981TX-0037-002,31259,,PT-0002-2981,EKO AZUL CIELO ESPUMA 0317 BCO,16256,TX-0037-002,EKO AZUL CIELO,BON_PROD,Y,1
PT-0002-2981ES-0002-008,31260,,PT-0002-2981,EKO AZUL CIELO ESPUMA 0317 BCO,16257,ES-0002-008,PEELER 030-017 BLANCO,BON_PROD,N,1
PT-0002-2981PR-0001-001,31261,,PT-0002-2981,EKO AZUL CIELO ESPUMA 0317 BCO,16258,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2982TX-0005-001,31262,,PT-0002-2982,ALFA AMARILLO ESPUMA 0317 BC,16259,TX-0005-001,ALFA AMARILLO,MATP,Y,1
PT-0002-2982ES-0002-006,31263,,PT-0002-2982,ALFA AMARILLO ESPUMA 0317 BC,16260,ES-0002-006,PEELER 030-014 BLANCO U,BON_PROD,Y,1
PT-0002-2982PR-0001-001,31264,,PT-0002-2982,ALFA AMARILLO ESPUMA 0317 BC,16261,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2983TX-0209-002,31265,,PT-0002-2983,LEXUS BLANCO ESPUMA 0417 BC PELLON BC,16262,TX-0209-002,LEXUS BLANCO,BON_PROD,Y,1
PT-0002-2983ES-0002-019,31266,,PT-0002-2983,LEXUS BLANCO ESPUMA 0417 BC PELLON BC,16263,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-2983TX-0054-001,31267,,PT-0002-2983,LEXUS BLANCO ESPUMA 0417 BC PELLON BC,16264,TX-0054-001,PELLON BLANCO,BON_PROD,Y,1
PT-0002-2983PR-0001-001,31268,,PT-0002-2983,LEXUS BLANCO ESPUMA 0417 BC PELLON BC,16265,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2984PT-0002-0111,31269,,PT-0002-2984,ALFA NEGRO MEMORY FOAM 4MM PERFO LUZ,16266,PT-0002-0111,ALFA NEGRO MEMORY FOAM 4MM,PERFO,Y,1
PT-0002-2984PR-0002-003,31270,,PT-0002-2984,ALFA NEGRO MEMORY FOAM 4MM PERFO LUZ,16267,PR-0002-003,"PROCESO PRODUCCION 1 PROCESO (TMB, PERF, EST, GOF)",PERFO,Y,1
PT-0002-2984PF-0001-0006,31271,,PT-0002-2984,ALFA NEGRO MEMORY FOAM 4MM PERFO LUZ,16268,PF-0001-0006,PERFORADO PERFO LUZ LH-104,PERFO,Y,1
PT-0002-2985TX-0218-013,31272,,PT-0002-2985,MALLA 997 CAFE FLIS NEGRO 1040004789,16269,TX-0218-013,MALLA 997 CAFE,BON_PROD,Y,1
PT-0002-2985TX-0171-001,31273,,PT-0002-2985,MALLA 997 CAFE FLIS NEGRO 1040004789,16270,TX-0171-001,FLIS NEGRO,BON_PROD,Y,1
PT-0002-2985PR-0001-011,31274,,PT-0002-2985,MALLA 997 CAFE FLIS NEGRO 1040004789,16271,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-2985PG-0001-012,31275,,PT-0002-2985,MALLA 997 CAFE FLIS NEGRO 1040004789,16272,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BON_PROD,Y,1.45
PT-0002-2986TX-0218-012,31276,,PT-0002-2986,MALLA 997 ARENA FLIS BCO 1040004785,16273,TX-0218-012,MALLA 997 ARENA,BON_PROD,Y,1
PT-0002-2986TX-0171-002,31277,,PT-0002-2986,MALLA 997 ARENA FLIS BCO 1040004785,16274,TX-0171-002,FLIS BLANCO,BON_PROD,Y,1
PT-0002-2986PR-0001-011,31278,,PT-0002-2986,MALLA 997 ARENA FLIS BCO 1040004785,16275,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-2986PG-0001-012,31279,,PT-0002-2986,MALLA 997 ARENA FLIS BCO 1040004785,16276,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0002-2987SI-0021-004,31280,,PT-0002-2987,FORRO LORETO MOKA MEMORY FOAM 4 MM,16277,SI-0021-004,FORRO LORETO MOKA 1040003512,BON_PROD,Y,1
PT-0002-2987ES-0003-009,31281,,PT-0002-2987,FORRO LORETO MOKA MEMORY FOAM 4 MM,16278,ES-0003-009,MEMORY FOAM 4MM 1040002051,BON_PROD,Y,1
PT-0002-2987PR-0001-001,31282,,PT-0002-2987,FORRO LORETO MOKA MEMORY FOAM 4 MM,16279,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2988TX-0204-007,31283,,PT-0002-2988,COSMIC BLANCO KOREANO STD BC,16280,TX-0204-007,COSMIC BLANCO,BON_PROD,Y,1
PT-0002-2988TX-0054-009,31284,,PT-0002-2988,COSMIC BLANCO KOREANO STD BC,16281,TX-0054-009,KOREANO STD BLANCO,BON_PROD,Y,1
PT-0002-2988PR-0001-001,31285,,PT-0002-2988,COSMIC BLANCO KOREANO STD BC,16282,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2989TX-0005-018,31286,,PT-0002-2989,ALFA GRIS ESPUMA 0417 BCO,16283,TX-0005-018,ALFA GRIS,BON_PROD,Y,1
PT-0002-2989ES-0002-022,31287,,PT-0002-2989,ALFA GRIS ESPUMA 0417 BCO,16284,ES-0002-022,PEELER 040-017 BLANCO U,BON_PROD,Y,1
PT-0002-2989PR-0001-001,31288,,PT-0002-2989,ALFA GRIS ESPUMA 0417 BCO,16285,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2990TX-0123-004,31289,,PT-0002-2990,TERCIOPELO BEIGE LAMINA D40 1.20X2.00X.0070 BLANCA,16286,TX-0123-004,TERCIOPELO BEIGE,BON_PROD,N,1
PT-0002-2990ES-0013-019,31290,,PT-0002-2990,TERCIOPELO BEIGE LAMINA D40 1.20X2.00X.0070 BLANCA,16287,ES-0013-019,"LAMINA D40 1.20X2.00X.0070 BLANCA, PRECIO:$DCM2 (240DCM2)",BON_PROD,Y,1
PT-0002-2990PR-0001-001,31291,,PT-0002-2990,TERCIOPELO BEIGE LAMINA D40 1.20X2.00X.0070 BLANCA,16288,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2991TX-0014-004,31292,,PT-0002-2991,BOSTON ORO ESPUMA 0417 BC,16289,TX-0014-004,BOSTON ORO,BON_PROD,Y,1
PT-0002-2991ES-0002-019,31293,,PT-0002-2991,BOSTON ORO ESPUMA 0417 BC,16290,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-2991PR-0001-001,31294,,PT-0002-2991,BOSTON ORO ESPUMA 0417 BC,16291,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2992TX-0067-008,31295,,PT-0002-2992,LONA POLIESTER BLANCO ESPUMA 0524 BC TST 180 SUAVE BC,16292,TX-0067-008,LONA POLIESTER BLANCO,MATP,Y,1
PT-0002-2992ES-0002-028,31296,,PT-0002-2992,LONA POLIESTER BLANCO ESPUMA 0524 BC TST 180 SUAVE BC,16293,ES-0002-028,PEELER 050-014 BLANCO U,BON_PROD,Y,1
PT-0002-2992TX-0127-001,31297,,PT-0002-2992,LONA POLIESTER BLANCO ESPUMA 0524 BC TST 180 SUAVE BC,16294,TX-0127-001,TST 180 BLANCO SUAVE,MATP,Y,1
PT-0002-2992PR-0001-001,31298,,PT-0002-2992,LONA POLIESTER BLANCO ESPUMA 0524 BC TST 180 SUAVE BC,16295,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2993TX-0201-002,31299,,PT-0002-2993,QUANTUM CONCRETO ESPUMA 0317 BCA,16296,TX-0201-002,QUANTUM CONCRETO,BON_PROD,Y,1
PT-0002-2993ES-0002-006,31300,,PT-0002-2993,QUANTUM CONCRETO ESPUMA 0317 BCA,16297,ES-0002-006,PEELER 030-014 BLANCO U,BON_PROD,Y,1
PT-0002-2993PR-0001-001,31301,,PT-0002-2993,QUANTUM CONCRETO ESPUMA 0317 BCA,16298,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2994TX-0005-039,31302,,PT-0002-2994,ALFA BLUSH MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,16299,TX-0005-039,ALFA BLUSH,MATP,Y,1
PT-0002-2994ES-0003-011,31303,,PT-0002-2994,ALFA BLUSH MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,16300,ES-0003-011,MEMORY ELASTIC 4MM ROJO,MATP,Y,1
PT-0002-2994TX-0054-004,31304,,PT-0002-2994,ALFA BLUSH MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,16301,TX-0054-004,KOREANO 35-150 BLANCO,MATP,Y,1
PT-0002-2994PR-0001-001,31305,,PT-0002-2994,ALFA BLUSH MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,16302,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-2995TX-0005-057,31306,,PT-0002-2995,ALFA LILA EVA 0340 BC PERFO LUNA,16303,TX-0005-057,ALFA LILA,PERFO,Y,1
PT-0002-2995EV-0002-006,31307,,PT-0002-2995,ALFA LILA EVA 0340 BC PERFO LUNA,16304,EV-0002-006,EVA 030040 BLANCO VIC,PERFO,Y,1
PT-0002-2995PR-0001-011,31308,,PT-0002-2995,ALFA LILA EVA 0340 BC PERFO LUNA,16305,PR-0001-011,PROCESO DE FILM,PERFO,Y,1
PT-0002-2995PF-0001-0003,31309,,PT-0002-2995,ALFA LILA EVA 0340 BC PERFO LUNA,16306,PF-0001-0003,PERFORADO LUNA 3,PERFO,Y,1
PT-0002-2996TX-0005-001,31310,,PT-0002-2996,ALFA AMARILLO MEMORY DRY 4MM,16307,TX-0005-001,ALFA AMARILLO,MATP,Y,1
PT-0002-2996ES-0003-001,31311,,PT-0002-2996,ALFA AMARILLO MEMORY DRY 4MM,16308,ES-0003-001,MEMORY DRY 4MM AMARILLO,TEIMP,Y,1
PT-0002-2996PR-0001-001,31312,,PT-0002-2996,ALFA AMARILLO MEMORY DRY 4MM,16309,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2997TX-0005-040,31313,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16310,TX-0005-040,ALFA CONCRETO,MATP,Y,1
PT-0002-2997PR-0001-001,31314,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16311,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-2997ES-0003-009,31315,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16312,ES-0003-009,MEMORY FOAM 4MM 1040002051,MATP,Y,1
PT-0002-2997PR-0001-004,31316,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16313,PR-0001-004,PROCESO LAMINADO LATEX,BON_PROD,Y,1
PT-0002-2997EV-0001-001,31317,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16314,EV-0001-001,EVA 015040 BLANCO EP,MATP,Y,1
PT-0002-2997PR-0001-011,31318,,PT-0002-2997,ALFA CONCRETO MEMORY FOAM 4MM EVA 01540 BC KOREANO 35 BC,16315,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0002-2998TX-0005-022,31319,,PT-0002-2998,ALFA NEGRO MEMORY FOAM 2MM,16316,TX-0005-022,ALFA NEGRO,BON_PROD,Y,1
PT-0002-2998ES-0003-008,31320,,PT-0002-2998,ALFA NEGRO MEMORY FOAM 2MM,16317,ES-0003-008,MEMORY FOAM 2MM,BON_PROD,Y,1
PT-0002-2998PR-0001-004,31321,,PT-0002-2998,ALFA NEGRO MEMORY FOAM 2MM,16318,PR-0001-004,PROCESO LAMINADO LATEX,BON_PROD,Y,1
PT-0002-2999TX-0012-016,31322,,PT-0002-2999,BORA PAJA ESPUMA 0417 BC,16319,TX-0012-016,BORA PAJA,BON_PROD,Y,1
PT-0002-2999ES-0002-019,31323,,PT-0002-2999,BORA PAJA ESPUMA 0417 BC,16320,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-2999PR-0001-001,31324,,PT-0002-2999,BORA PAJA ESPUMA 0417 BC,16321,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-3000TX-0081-014,31325,,PT-0002-3000,NET 1 GLOW ESPUMA 0417 NG TST 180 SUAVE NG,16322,TX-0081-014,NET 1 GLOW,MATP,Y,1
PT-0002-3000ES-0002-021,31326,,PT-0002-3000,NET 1 GLOW ESPUMA 0417 NG TST 180 SUAVE NG,16323,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0002-3000TX-0127-002,31327,,PT-0002-3000,NET 1 GLOW ESPUMA 0417 NG TST 180 SUAVE NG,16324,TX-0127-002,TST 180 NEGRO SUAVE,MATP,Y,1
PT-0002-3000PR-0001-001,31328,,PT-0002-3000,NET 1 GLOW ESPUMA 0417 NG TST 180 SUAVE NG,16325,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-3001TX-0081-015,31329,,PT-0002-3001,NET 1.0 ELECTRIC ORANGE ESPUMA 0317 BC KOREANO STD BC,16326,TX-0081-015,NET 1 ELECTRIC ORANGE 1040004094,BON_PROD,N,1
PT-0002-3001ES-0002-006,31330,,PT-0002-3001,NET 1.0 ELECTRIC ORANGE ESPUMA 0317 BC KOREANO STD BC,16327,ES-0002-006,PEELER 030-014 BLANCO U,BON_PROD,Y,1
PT-0002-3001TX-0054-009,31331,,PT-0002-3001,NET 1.0 ELECTRIC ORANGE ESPUMA 0317 BC KOREANO STD BC,16328,TX-0054-009,KOREANO STD BLANCO,BON_PROD,Y,1
PT-0002-3002MQ-0044-004,31332,,PT-0002-3002,QUANTUM BLANCO ESPUMA 0417 BC PELLON BC,16329,MQ-0044-004,QUANTUM BLANCO,BON_PROD,Y,1
PT-0002-3002ES-0002-019,31333,,PT-0002-3002,QUANTUM BLANCO ESPUMA 0417 BC PELLON BC,16330,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-3002TX-0054-001,31334,,PT-0002-3002,QUANTUM BLANCO ESPUMA 0417 BC PELLON BC,16331,TX-0054-001,PELLON BLANCO,BON_PROD,Y,1
PT-0002-3002PR-0001-001,31335,,PT-0002-3002,QUANTUM BLANCO ESPUMA 0417 BC PELLON BC,16332,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-3003TX-0005-032,31336,,PT-0002-3003,ALFA AMARILLO NEON MEMORY COMFORT 3 MM,16333,TX-0005-032,ALFA AMARILLO NEON,BON_PROD,Y,1
PT-0002-3003ES-0024-001,31337,,PT-0002-3003,ALFA AMARILLO NEON MEMORY COMFORT 3 MM,16334,ES-0024-001,MEMORY COMFORT NARANJA 3MM,BON_PROD,Y,1
PT-0002-3003PR-0001-001,31338,,PT-0002-3003,ALFA AMARILLO NEON MEMORY COMFORT 3 MM,16335,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-3004TX-0196-010,31339,,PT-0002-3004,CUPRA ARENA ESPUMA 0417 BC TST 180 SUAVE BLANCO,16336,TX-0196-010,CUPRA ARENA,MATP,Y,1
PT-0002-3004ES-0002-019,31340,,PT-0002-3004,CUPRA ARENA ESPUMA 0417 BC TST 180 SUAVE BLANCO,16337,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0002-3004TX-0127-001,31341,,PT-0002-3004,CUPRA ARENA ESPUMA 0417 BC TST 180 SUAVE BLANCO,16338,TX-0127-001,TST 180 BLANCO SUAVE,MATP,Y,1
PT-0002-3004PR-0001-001,31342,,PT-0002-3004,CUPRA ARENA ESPUMA 0417 BC TST 180 SUAVE BLANCO,16339,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0002-3005TX-0255-002,31343,,PT-0002-3005,SIDNEY GRIS OXFORD KOREANO STD NG,16340,TX-0255-002,SIDNEY GRIS OXFORD,BON_PROD,Y,1
PT-0002-3005TX-0054-010,31344,,PT-0002-3005,SIDNEY GRIS OXFORD KOREANO STD NG,16341,TX-0054-010,KOREANO STD NEGRO,BON_PROD,Y,1
PT-0002-3005PR-0001-001,31345,,PT-0002-3005,SIDNEY GRIS OXFORD KOREANO STD NG,16342,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-3006TX-0255-003,31346,,PT-0002-3006,SIDNEY NEGRO KOREANO STD NG,16343,TX-0255-003,SIDNEY NEGRO,BON_PROD,Y,1
PT-0002-3006TX-0054-010,31347,,PT-0002-3006,SIDNEY NEGRO KOREANO STD NG,16344,TX-0054-010,KOREANO STD NEGRO,BON_PROD,Y,1
PT-0002-3006PR-0001-001,31348,,PT-0002-3006,SIDNEY NEGRO KOREANO STD NG,16345,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-3007TX-0255-001,31349,,PT-0002-3007,SIDNEY AZUL MARINO KOREANO STD NG,16346,TX-0255-001,SIDNEY AZUL MARINO,BON_PROD,N,1
PT-0002-3007TX-0054-010,31350,,PT-0002-3007,SIDNEY AZUL MARINO KOREANO STD NG,16347,TX-0054-010,KOREANO STD NEGRO,BON_PROD,Y,1
PT-0002-3007PR-0001-001,31351,,PT-0002-3007,SIDNEY AZUL MARINO KOREANO STD NG,16348,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0002-3008TX-0005-046,31352,,PT-0002-3008,ALFA CASIS ESPUMA 0317 BC KOREANO 35 BC,16349,TX-0005-046,ALFA CASIS,BON_PROD,Y,1
