a,b,c,d,e,f,g,h,i,j
PT-0001-0017ES-0002-007,15076,,PT-0001-0017,ALFA CAFE ESPUMA 0317 NG PELLON NG,73,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0017TX-0054-003,15077,,PT-0001-0017,ALFA CAFE ESPUMA 0317 NG PELLON NG,74,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0017PR-0001-024,15078,,PT-0001-0017,ALFA CAFE ESPUMA 0317 NG PELLON NG,75,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0018TX-0005-018,15079,,PT-0001-0018,ALFA GRIS ESPUMA 0317 NG PELLON NG,76,TX-0005-018,ALFA GRIS,PTER,Y,1
PT-0001-0018ES-0002-007,15080,,PT-0001-0018,ALFA GRIS ESPUMA 0317 NG PELLON NG,77,ES-0002-007,PEELER 030-014 NEGRO U,PTER,Y,1
PT-0001-0018TX-0054-003,15081,,PT-0001-0018,ALFA GRIS ESPUMA 0317 NG PELLON NG,78,TX-0054-003,PELLON NEGRO,PTER,Y,1
PT-0001-0018PR-0001-024,15082,,PT-0001-0018,ALFA GRIS ESPUMA 0317 NG PELLON NG,79,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0019TX-0005-018,15083,,PT-0001-0019,ALFA GRIS ESPUMA 0417 NG PELLON NG,80,TX-0005-018,ALFA GRIS,BON_PROD,Y,1
PT-0001-0019ES-0002-021,15084,,PT-0001-0019,ALFA GRIS ESPUMA 0417 NG PELLON NG,81,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0001-0019TX-0054-003,15085,,PT-0001-0019,ALFA GRIS ESPUMA 0417 NG PELLON NG,82,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0019PR-0001-024,15086,,PT-0001-0019,ALFA GRIS ESPUMA 0417 NG PELLON NG,83,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0020TX-0266-014,15087,,PT-0001-0020,MIA NEGRO ESPUMA 0417 NG GASA NG,84,TX-0266-014,MIA NEGRO,MATP,Y,1
PT-0001-0020ES-0002-021,15088,,PT-0001-0020,MIA NEGRO ESPUMA 0417 NG GASA NG,85,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0001-0020TX-0040-002,15089,,PT-0001-0020,MIA NEGRO ESPUMA 0417 NG GASA NG,86,TX-0040-002,FORRO GASA NEGRO,MATP,Y,1
PT-0001-0020PR-0001-001,15090,,PT-0001-0020,MIA NEGRO ESPUMA 0417 NG GASA NG,87,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0001-0021ES-0002-007,15091,,PT-0001-0021,ALFA MID NIGHT FOG ESPUMA 0317 NG PELLON NG,88,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0021PR-0001-001,15092,,PT-0001-0021,ALFA MID NIGHT FOG ESPUMA 0317 NG PELLON NG,89,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0001-0021TX-0005-020,15093,,PT-0001-0021,ALFA MID NIGHT FOG ESPUMA 0317 NG PELLON NG,90,TX-0005-020,ALFA MIDNIGHT FOG,BON_PROD,Y,1
PT-0001-0021TX-0054-003,15094,,PT-0001-0021,ALFA MID NIGHT FOG ESPUMA 0317 NG PELLON NG,91,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0022TX-0005-022,15095,,PT-0001-0022,ALFA NEGRO ESPUMA 0317 NG,92,TX-0005-022,ALFA NEGRO,BON_PROD,Y,1
PT-0001-0022ES-0002-007,15096,,PT-0001-0022,ALFA NEGRO ESPUMA 0317 NG,93,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0022PR-0001-001,15097,,PT-0001-0022,ALFA NEGRO ESPUMA 0317 NG,94,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-0001-0023TX-0005-022,15098,,PT-0001-0023,ALFA NEGRO ESPUMA 0317 NG GASA NG,95,TX-0005-022,ALFA NEGRO,BON_PROD,Y,1
PT-0001-0023ES-0002-007,15099,,PT-0001-0023,ALFA NEGRO ESPUMA 0317 NG GASA NG,96,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0023TX-0040-002,15100,,PT-0001-0023,ALFA NEGRO ESPUMA 0317 NG GASA NG,97,TX-0040-002,FORRO GASA NEGRO,BON_PROD,Y,1
PT-0001-0023PR-0001-024,15101,,PT-0001-0023,ALFA NEGRO ESPUMA 0317 NG GASA NG,98,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0024TX-0266-014,15102,,PT-0001-0024,MIA NEGRO SARGA RAYADA,99,TX-0266-014,MIA NEGRO,TEIMP,Y,1
PT-0001-0024PR-0001-011,15103,,PT-0001-0024,MIA NEGRO SARGA RAYADA,100,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0024TX-0108-004,15104,,PT-0001-0024,MIA NEGRO SARGA RAYADA,101,TX-0108-004,SARGA RAYADO,TEIMP,Y,1
PT-0001-0024PG-0001-012,15105,,PT-0001-0024,MIA NEGRO SARGA RAYADA,102,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0001-0025TX-0267-023,15106,,PT-0001-0025,DUBAI ROJO MEMORY ELASTIC 4MM,103,TX-0267-023,DUBAI ROJO,MATP,Y,1
